query,group,keyword_ok,keyword_hits,used_query,top1,topk,low,context_len,ctx_docs,answer,faith,rel,hall,judge_raw,top1_pre,topk_pre,keyword_ok_pre,keyword_hits_pre,low_pre
에어프라이어로 두부강정 레시피 알려줘,A,True,레시피,에어프라이어로 두부강정 레시피 알려줘,0.3412353168806599,"0.341, 0.341, 0.341, 0.341",False,780,2,"**에어프라이어 두부강정**  
**재료**: 두부 1모, 감자전분 1.5T, 간장 1T, 굴소스 1T, 매실액 1T, 생강청 1/3T, 물 1.5T, 참기름 1t  
**조리 요약**: 두부를 전자레인지에 2분 돌려 수분을 제거한 후 깍뚝썰기하고 키친타올로 닦는다. 전분가루를 넣은 비닐팩에 두부를 넣고 얇게 입힌 후 에어프라이어 트레이에 종이호일을 깔고 겹치지 않게 펼친다. 180도로 예열한 에어프라이어에서 8분 돌리고 뒤집어 5분 더 돌린다. 소스를 만들고 두부를 담아 골고루 섞은 후 참기름을 넣고 마무리한다. 촉촉함을 원하면 소스를 적당히 남긴다.",5,5,1,"Faith=5, Rel=5, Hall=1",0.3412353168806599,"0.341, 0.341, 0.341, 0.341",True,레시피,False
에어프라이어로 두부강정 레시피 알려줘,B,True,레시피,에어프라이어로 두부강정 레시피 알려줘,0.3412353168806599,"0.341, 0.341, 0.341, 0.341",False,780,2,"에어프라이어 두부강정 / 두부 1모, 감자전분 1.5T, 간장 1T, 굴소스 1T, 매실액 1T, 생강청 1/3T, 물 1.5T, 참기름 1t / 두부를 전자레인지에 2분 돌려 수분을 제거한 후 깍뚝썰고 여분의 수분을 닦습니다. 전분가루에 두부를 얇게 입혀 에어프라이어 트레이에 펼쳐 놓고 180도에서 8분, 뒤집고 5분 더 돌립니다. 소스를 끓여 두부에 담고 골고루 섞은 후 참기름으로 마무리합니다.",5,5,1,"Faith=5, Rel=5, Hall=1",0.3412353168806599,"0.341, 0.341, 0.341, 0.341",True,레시피,False
에어프라이어로 두부강정 레시피 알려줘,C,True,레시피,에어프라이어로 두부강정 레시피 알려줘,0.34139741366003273,"0.341, 0.341, 0.341, 0.341",False,780,2,"에어프라이어 두부강정 / 재료: 두부 1모, 감자전분 1.5T, 간장 1T, 굴소스 1T, 매실액 1T, 생강청 1/3T, 물 1.5T, 참기름 1t / 조리 요약: 두부를 전자레인지에 2분 돌려 수분을 제거한 후 깍뚝썰고 여분의 수분을 닦는다. 전분가루에 두부를 입혀 에어프라이어 트레이에 펼쳐 놓고 180도에서 8분, 뒤집고 5분 더 돌린다. 소스를 끓여 두부에 담고 섞은 후 참기름으로 마무리한다.",5,5,1,"Faith=5, Rel=5, Hall=1",0.34139741366003273,"0.341, 0.341, 0.341, 0.341",True,레시피,False
김치찌개 레시피에서 새우젓 대체 방법,A,True,"레시피, 방법",김치찌개 레시피에서 새우젓 대체 방법,0.470088052994166,"0.470, 0.470, 0.453, 0.453",False,243,2,정보 부족,1,2,1,"Faith=1, Rel=2, Hall=1",0.470088052994166,"0.470, 0.470, 0.453, 0.453",True,"레시피, 방법",False
김치찌개 레시피에서 새우젓 대체 방법,B,True,"레시피, 방법",김치찌개 레시피에서 새우젓 대체 방법,0.4700248748682482,"0.470, 0.470, 0.453, 0.453",False,243,2,정보 부족,1,1,1,"Faith=1, Rel=1, Hall=1",0.4700248748682482,"0.470, 0.470, 0.453, 0.453",True,"레시피, 방법",False
김치찌개 레시피에서 새우젓 대체 방법,C,True,"레시피, 방법",김치찌개 레시피에서 새우젓 대체 방법,0.4701835156060431,"0.470, 0.470, 0.453, 0.453",False,243,2,정보 부족,1,1,1,"Faith=1, Rel=1, Hall=1",0.4701835156060431,"0.470, 0.470, 0.453, 0.453",True,"레시피, 방법",False
초보자를 위한 카레 만드는법,A,True,만드는법,초보자를 위한 카레 만드는법,0.425780967762846,"0.426, 0.426, 0.418, 0.417",False,91,2,"카레/감자 2개, 당근 1개, 양파 1개, 캔 옥수수 1/3, 물 2공기, 식용유 1스푼, 카레 1봉지(100g)/감자, 당근, 양파를 썰고, 식용유에 볶은 후 물과 옥수수를 넣고 끓인다. 이후 카레를 넣고 잘 섞어 익힌다.",5,5,1,"Faith=5, Rel=5, Hall=1",0.425780967762846,"0.426, 0.426, 0.418, 0.417",True,만드는법,False
초보자를 위한 카레 만드는법,B,True,만드는법,초보자를 위한 카레 만드는법,0.425780967762846,"0.426, 0.426, 0.418, 0.417",False,91,2,"카레/감자 2개, 당근 1개, 양파 1개, 캔 옥수수 1/3, 물 2공기, 식용유 1스푼, 카레 1봉지(100g)/감자, 당근, 양파를 썰고, 팬에 식용유를 두른 후 채소를 볶습니다. 물을 추가하고 끓인 후 카레 가루를 넣고 잘 저어가며 끓입니다. 마지막으로 옥수수를 넣고 한소끔 더 끓이면 완성입니다.",5,5,1,"Faith=5, Rel=5, Hall=1",0.425780967762846,"0.426, 0.426, 0.418, 0.417",True,만드는법,False
초보자를 위한 카레 만드는법,C,True,만드는법,초보자를 위한 카레 만드는법,0.425780967762846,"0.426, 0.426, 0.418, 0.417",False,91,2,"카레/감자 2개, 당근 1개, 양파 1개, 캔 옥수수 1/3, 물 2공기, 식용유 1스푼, 카레 1봉지(100g)/감자, 당근, 양파를 썰고, 식용유에 볶은 후 물과 옥수수를 넣고 끓인다. 마지막에 카레를 넣고 잘 섞어 완성한다.",5,5,1,"Faith=5, Rel=5, Hall=1",0.425780967762846,"0.426, 0.426, 0.418, 0.417",True,만드는법,False
닭가슴살 삶는 방법과 시간,A,True,방법,닭가슴살 삶는 방법과 시간,0.5232965526309867,"0.523, 0.523, 0.517, 0.516",False,426,3,"메뉴명: 닭가슴살 삶기  
재료: 닭가슴살 200g, 물, 대파 1대, 후추 1t, 마늘 10알  
조리 요약: 닭가슴살을 끓는 물에 10~15분간 삶고, 찬물 또는 얼음물에서 식힌 후 먹기 좋은 크기로 찢는다.",5,5,1,"Faith=5, Rel=5, Hall=1",0.5232965526309867,"0.523, 0.523, 0.517, 0.516",True,방법,False
